V2,V3,V4,V7,V9,V10,V11,V12,V14,V16,V17,V18,Class
-3.157307121,1.08846278,2.288643618,0.325574266,-0.270952836,-0.838586565,-0.414575448,-0.50314086,-1.692028933,0.666779696,0.599717414,1.725321007,1
1.75924746,-0.359744743,2.330243051,0.562319782,-0.238253368,-1.525411627,2.032912158,-6.560124295,-1.470101536,-2.282193829,-4.781830856,-2.615664945,1
1.358367028,-2.592844218,2.679786967,-3.496197293,-0.247767899,-4.801637406,4.895844223,-10.91281932,-6.771096725,-7.358083221,-12.59841854,-5.131548628,1
3.019740421,-4.304596885,4.73279513,1.713444988,-1.28285782,-2.447469255,2.101343865,-4.609628391,-6.079337193,2.581850954,6.739384385,3.042493178,1
4.137836835,-6.240696572,6.675732163,-1.631734673,-2.795892464,-6.18789063,5.664394709,-9.854484823,-10.69119621,-2.041973791,-1.129055877,0.116452521,1
4.132463897,-6.560599968,6.348556673,-1.6891022,-3.139409057,-6.045467798,6.754625448,-8.948178579,-10.7338541,-1.638960115,-1.746350136,0.776744098,1
3.712889295,-5.775935108,6.078265506,-0.812891249,-2.214311312,-5.134454471,4.560720106,-8.873748362,-9.17716637,-0.87168849,1.313013629,0.773913873,1
3.809075947,-5.615159011,6.047445102,-0.746579273,-2.678678542,-4.959492912,6.439053352,-7.520117393,-9.252307247,-0.502362191,0.784426598,1.494304607,1
2.300894438,-5.329976183,4.007682805,-3.968592618,-0.486096552,-4.624984954,5.588723915,-7.148242636,-6.210257747,-3.599540209,-4.830324242,-0.64909012,1
2.426432806,-5.234513296,4.416661243,-3.878088455,-0.166199039,-5.009248502,4.675729419,-8.167188052,-6.763334391,-3.81175841,-3.754128066,-1.049177402,1
2.001485266,-4.769751832,3.819194585,-3.059245032,0.415382113,-3.955812344,3.572054816,-7.186451591,-5.249304549,-2.641473109,-1.31205856,-0.391716051,1
3.261584548,-4.137421983,2.357096252,-3.513686871,-1.207166361,-6.234561332,5.450746067,-7.333714067,-6.608068252,-2.60247787,-4.835112052,-0.553026089,1
3.402793713,-3.822742266,2.625368153,-3.430559149,-0.776941495,-6.199881763,4.366713486,-8.243262434,-6.590550297,-3.028452388,-4.214486275,-1.213607848,1
4.093911827,-7.423893589,7.380244518,-1.496497056,-2.351190159,-3.944238498,6.355077737,-7.309747984,-9.057992529,-1.073116527,1.524500915,1.831363533,1
4.917850711,-5.926129694,5.701500431,-1.713402063,-3.796354252,-7.454840651,7.388055123,-10.47522865,-11.73672912,-2.442353983,-3.535523512,0.130360307,1
